name,price,store,location,sold,details_link
MORINGA PYRAMID TEA --- Teh Celup Piramid Daun Kelor Organik Premium,Rp35.000,Moringa Organik Indonesia Official,,2rb+ terjual,https://www.tokopedia.com/kelorina/moringa-pyramid-tea-teh-celup-piramid-daun-kelor-organik-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
"Herbana Relief Sari Daun Kelor Moringa Sumber Nutrisi, Vitamin- 30 Kapsul",Rp70.000,HERBANA,Tangerang,750+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-daun-kelor-moringa-sumber-nutrisi-vitamin-30-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
"Herbana Relief Sari Powder Daun Kelor Moringa Sumber Nutrisi, Vitamin- Isi 30 Sachet @4g",Rp149.000,HERBANA,Tangerang,90+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-powder-daun-kelor-moringa-sumber-nutrisi-vitamin-isi-30-sachet-4g?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Daun Kelor Bubuk / Moringa Powder Premium Original Nutrione,Rp59.500,NutriOneID,Jakarta Utara,1rb+ terjual,https://www.tokopedia.com/nutrioneid/daun-kelor-bubuk-moringa-powder-premium-original-nutrione?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
"Naturebell Moringa Oleifera 8,000mg - 240 Capsules-Non-GMO,Gluten Free",Rp650.000,heavenlyvitamin,Jakarta Barat,60+ terjual,https://www.tokopedia.com/heavenlyvitamin/naturebell-moringa-oleifera-8-000mg-240-capsules-non-gmo-gluten-free?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Dari Bumi Moricle Moringa Latte Minuman Bubuk Kelor Latte 200 Gram,Rp37.000,daribumiofficial,Jakarta Barat,100+ terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-moricle-moringa-latte-minuman-bubuk-kelor-latte-200-gram?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Daun Kelor Moringa Bubuk Organik Premium Galleo,Rp24.900,GALLEO Official Shop,Jakarta Utara,500+ terjual,https://www.tokopedia.com/galleo/daun-kelor-moringa-bubuk-organik-premium-galleo-jar-m-2aa66?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
MORINGA PYRAMID TEA --- Teh Celup Piramid Daun Kelor Organik Premium,Rp35.000,Moringa Organik Indonesia Official,Kab. Blora,2rb+ terjual,https://www.tokopedia.com/kelorina/moringa-pyramid-tea-teh-celup-piramid-daun-kelor-organik-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Powder 350 gram Bubuk Daun Kelor Authentic Safiya Food,Rp33.990,Safiya Food Official,Jakarta Barat,1rb+ terjual,https://www.tokopedia.com/safiyafood/moringa-powder-350-gram-bubuk-daun-kelor-authentic-safiya-food?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Bubuk Daun Kelor Organik / Organic Moringa Powder - 250g,Rp49.000,Nilaya Official Store,Denpasar,1rb+ terjual,https://www.tokopedia.com/nilaya-co/bubuk-daun-kelor-organik-organic-moringa-powder-250g?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
